block,cate,correct,form_response,response_time_resp
0,Old,1,1,1280
0,Old,1,1,884
0,Young,1,1,816
0,Young,1,1,577
0,Old,1,1,548
0,Young,1,1,668
0,Old,1,1,621
0,Old,1,1,542
0,Young,1,1,578
0,Old,1,1,700
0,Young,1,1,585
0,Young,1,1,638
0,Young,1,1,469
0,Old,1,1,1128
0,Young,1,1,670
0,Old,1,1,588
0,Old,1,1,558
0,Young,1,1,608
0,Young,1,1,653
0,Young,1,1,599
0,Old,1,1,555
0,Old,0,1,1534
0,Old,1,1,287
0,Old,0,1,36
0,Old,1,1,203
0,Young,0,1,557
0,Young,0,1,948
0,Old,0,1,781
0,Young,0,1,525
0,Young,1,1,828
0,Young,0,1,625
0,Old,0,1,695
1,Young,1,1,586
1,Young,1,1,441
1,Old,1,1,507
1,Young,1,1,828
1,Old,0,1,629
1,Young,1,1,490
1,Young,1,1,496
1,Old,1,1,582
1,Old,1,1,613
1,Old,1,1,909
1,Old,1,1,636
1,Young,1,1,812
1,Young,1,1,662
1,Young,1,1,696
1,Young,1,1,511
1,Young,1,1,819
1,Old,1,1,838
1,Old,1,1,586
1,Young,0,1,708
1,Old,1,1,485
1,Young,1,1,537
1,Young,1,1,511
1,Old,1,1,583
1,Young,1,1,506
1,Old,1,1,533
1,Old,0,1,461
1,Young,1,1,510
1,Old,1,1,532
1,Old,1,1,480
1,Old,0,1,616
1,Old,1,1,597
1,Young,1,1,522
1,Old,1,1,523
1,Young,1,1,512
1,Young,1,1,519
1,Old,1,1,490
2,self,1,1,570
2,self,1,1,458
2,Other,1,1,430
2,Other,1,1,440
2,self,1,1,673
2,Other,1,1,554
2,Other,1,1,537
2,self,1,1,556
2,self,1,1,633
2,Other,1,1,719
2,self,1,1,845
2,self,1,1,667
2,self,1,1,628
2,self,1,1,554
2,Other,1,1,545
2,Other,1,1,499
2,Other,1,1,536
2,Other,1,1,497
2,self,1,1,497
2,self,1,1,499
2,self,1,1,651
2,self,1,1,544
2,self,1,1,744
2,self,1,1,788
2,Other,1,1,524
2,self,1,1,659
2,self,1,1,481
2,Other,0,1,571
2,Other,1,1,434
2,Other,0,1,528
2,Other,1,1,862
2,Other,1,1,429
2,Other,1,1,400
2,Other,1,1,424
2,self,1,1,441
